month,region,channel,segment,units_sold,avg_price,discount_rate,marketing_spend,holiday,campaign,customer_satisfaction,returns,inventory_on_hand,revenue,profit
5,North,Online,Budget,50,39,0.0,147.81,0,0,3.67,2,78,1950.0,381.03
5,North,Online,Standard,31,74,0.0,129.15,0,0,4.4,2,42,2294.0,664.13
5,North,Online,Premium,23,139,0.0,82.61,0,0,4.1,1,25,3197.0,1229.55
5,North,Store,Budget,38,39,0.0,122.07,0,0,3.4,1,35,1482.0,284.31
5,North,Store,Standard,28,74,0.0,130.8,0,0,3.84,1,23,2072.0,598.84
5,North,Store,Premium,14,139,0.0,84.53,0,0,3.78,1,16,1946.0,702.21
5,South,Online,Budget,50,39,0.0,114.12,0,0,3.77,3,74,1950.0,406.14
5,South,Online,Standard,26,74,0.0,81.74,0,0,4.18,1,33,1924.0,594.62
5,South,Online,Premium,17,139,0.0,150.31,0,0,4.37,1,24,2363.0,811.57
5,South,Store,Budget,25,39,0.0,81.83,0,0,3.57,1,23,975.0,182.59
5,South,Store,Standard,33,74,0.0,99.62,0,0,4.27,2,47,2442.0,746.94
5,South,Store,Premium,11,139,0.0,147.31,0,0,3.92,1,10,1529.0,464.29
5,East,Online,Budget,40,39,0.0,82.31,0,0,4.08,1,43,1560.0,345.91
5,East,Online,Standard,23,74,0.0,144.35,0,0,3.66,1,20,1702.0,452.09
5,East,Online,Premium,13,139,0.0,149.52,0,0,3.87,0,20,1807.0,609.42
5,East,Store,Budget,46,39,0.0,150.44,0,0,3.41,4,51,1794.0,317.56
5,East,Store,Standard,34,74,0.0,110.71,0,0,3.6,2,53,2516.0,762.49
5,East,Store,Premium,16,139,0.0,137.2,0,0,3.97,1,25,2224.0,766.3
5,West,Online,Budget,41,39,0.0,166.89,0,0,3.6,3,43,1599.0,255.09
5,West,Online,Standard,25,74,0.0,119.2,0,0,4.21,1,36,1850.0,530.52
5,West,Online,Premium,30,139,0.0,87.8,0,0,3.97,2,48,4170.0,1602.44
5,West,Store,Budget,49,39,0.0,114.11,0,0,3.57,3,40,1911.0,395.23
5,West,Store,Standard,25,74,0.0,151.8,0,0,4.03,1,28,1850.0,497.92
5,West,Store,Premium,10,139,0.0,80.91,0,0,4.3,0,17,1390.0,502.89
6,North,Online,Budget,190,39,0.05,318.23,0,1,4.18,3,88,2297.1,299.22
6,North,Online,Standard,32,74,0.05,258.37,0,1,3.8,2,32,2249.6,518.93
6,North,Online,Premium,17,139,0.05,292.59,0,1,3.94,1,22,2244.85,619.67
6,North,Store,Budget,47,39,0.0,143.26,0,0,3.03,2,49,1833.0,352.82
6,North,Store,Standard,31,74,0.0,90.76,0,0,3.9,1,40,2294.0,718.8
6,North,Store,Premium,12,139,0.0,123.58,0,0,3.92,0,17,1668.0,576.98
6,South,Online,Budget,50,39,0.05,259.05,0,1,4.12,2,49,1852.5,242.49
6,South,Online,Standard,38,74,0.05,298.07,0,1,4.08,1,40,2671.4,647.35
6,South,Online,Premium,18,139,0.05,261.37,0,1,4.49,1,28,2376.9,706.35
6,South,Store,Budget,39,39,0.0,122.25,0,0,2.84,2,47,1521.0,286.47
6,South,Store,Standard,27,74,0.0,123.0,0,0,3.95,2,42,1998.0,563.72
6,South,Store,Premium,16,139,0.0,84.82,0,0,3.79,1,15,2224.0,818.68
6,East,Online,Budget,60,39,0.05,260.66,0,1,3.43,5,89,2223.0,318.88
6,East,Online,Standard,35,74,0.05,297.03,0,1,3.56,1,42,2460.5,572.47
6,East,Online,Premium,28,139,0.05,277.48,0,1,3.4,2,38,3697.4,1214.27
6,East,Store,Budget,40,39,0.0,98.7,0,0,3.11,3,40,1560.0,312.36
6,East,Store,Standard,28,74,0.0,86.76,0,0,3.79,1,22,2072.0,642.88
6,East,Store,Premium,20,139,0.0,100.83,0,0,3.45,1,29,2780.0,1036.19
6,West,Online,Budget,48,39,0.05,333.15,0,1,3.59,3,72,1778.4,139.06
6,West,Online,Standard,30,74,0.05,288.26,0,1,3.69,2,39,2109.0,438.42
6,West,Online,Premium,10,139,0.05,256.43,0,1,3.59,1,9,1320.5,267.6
6,West,Store,Budget,50,39,0.0,105.97,0,0,3.34,3,46,1950.0,414.29
6,West,Store,Standard,18,74,0.0,125.04,0,0,3.7,1,22,1332.0,338.2
6,West,Store,Premium,16,139,0.0,109.01,0,0,3.99,1,16,2224.0,794.49
7,North,Online,Budget,55,39,0.0,131.77,0,0,4.45,4,91,2145.0,434.51
7,North,Online,Standard,31,74,0.0,83.62,0,0,4.57,1,46,2294.0,725.94
7,North,Online,Premium,19,139,0.0,96.33,0,0,3.55,1,25,2641.0,982.31
7,North,Store,Budget,35,39,0.0,111.32,0,0,3.28,1,38,1365.0,262.3
7,North,Store,Standard,17,74,0.0,142.43,0,0,3.57,1,18,1258.0,294.17
7,North,Store,Premium,12,139,0.0,120.93,0,0,4.5,1,13,1668.0,549.05
7,South,Online,Budget,56,39,0.0,126.31,0,0,3.29,2,95,2184.0,468.05
7,South,Online,Standard,22,74,0.0,96.88,0,0,3.81,1,25,1628.0,472.92
7,South,Online,Premium,7,139,0.0,98.32,0,0,4.07,0,9,973.0,310.34
7,South,Store,Budget,34,39,0.0,90.93,0,0,3.89,2,57,1326.0,263.19
7,South,Store,Standard,22,74,0.0,129.58,0,0,3.7,1,29,1628.0,440.22
7,South,Store,Premium,24,139,0.0,121.53,0,0,4.81,2,22,3336.0,1218.43
7,East,Online,Budget,45,39,0.0,125.8,0,0,3.9,3,47,1755.0,339.86
7,East,Online,Standard,19,74,0.0,129.61,0,0,4.55,1,22,1406.0,360.27
7,East,Online,Premium,16,139,0.0,157.76,0,0,4.42,1,17,2224.0,745.74
7,East,Store,Budget,39,39,0.0,125.7,0,0,3.64,3,60,1521.0,274.44
7,East,Store,Standard,35,74,0.0,169.9,0,0,3.84,2,43,2590.0,729.94
7,East,Store,Premium,23,139,0.0,129.67,0,0,4.16,1,30,3197.0,1182.49
7,West,Online,Budget,46,39,0.0,142.77,0,0,3.4,1,60,1794.0,350.97
7,West,Online,Standard,40,74,0.0,147.02,0,0,4.11,1,57,2960.0,902.3
7,West,Online,Premium,11,139,0.0,153.87,0,0,4.18,1,19,1529.0,457.73
7,West,Store,Budget,39,39,0.0,133.12,0,0,3.45,2,62,1521.0,275.6
7,West,Store,Standard,21,74,0.0,121.12,0,0,4.17,1,30,1554.0,422.04
7,West,Store,Premium,20,139,0.0,122.25,0,0,3.47,1,33,2780.0,1014.77
8,North,Online,Budget,52,39,0.0,156.66,0,0,3.42,3,81,2028.0,385.44
8,North,Online,Standard,25,74,0.0,144.68,0,0,4.27,1,37,1850.0,505.04
8,North,Online,Premium,16,139,0.0,136.8,0,0,4.12,0,26,2224.0,797.28
8,North,Store,Budget,39,39,0.0,88.86,0,0,4.13,2,53,1521.0,319.86
8,North,Store,Standard,21,74,0.0,161.31,0,0,4.16,1,18,1554.0,381.85
8,North,Store,Premium,10,139,0.0,93.1,0,0,3.98,0,13,1390.0,490.7
8,South,Online,Budget,36,39,0.0,87.11,0,0,3.13,1,57,1404.0,297.43
8,South,Online,Standard,24,74,0.0,92.88,0,0,3.86,2,29,1776.0,513.92
8,South,Online,Premium,20,139,0.0,152.42,0,0,4.04,0,32,2780.0,1015.18
8,South,Store,Budget,32,39,0.0,111.1,0,0,3.46,1,43,1248.0,229.76
8,South,Store,Standard,19,74,0.0,156.08,0,0,3.66,1,19,1406.0,333.8
8,South,Store,Premium,18,139,0.0,131.47,0,0,3.6,1,24,2502.0,888.79
8,East,Online,Budget,49,39,0.0,139.24,0,0,3.99,4,51,1911.0,361.52
8,East,Online,Standard,29,74,0.0,84.41,0,0,3.56,2,39,2146.0,655.59
8,East,Online,Premium,19,139,0.0,151.9,0,0,3.29,1,26,2641.0,926.74
8,East,Store,Budget,50,39,0.0,141.0,0,0,3.25,3,72,1950.0,379.26
8,East,Store,Standard,19,74,0.0,161.31,0,0,3.54,1,26,1406.0,328.57
8,East,Store,Premium,22,139,0.0,145.91,0,0,3.76,1,19,3058.0,1107.87
8,West,Online,Budget,52,39,0.0,91.89,0,0,3.54,2,67,2028.0,458.79
8,West,Online,Standard,27,74,0.0,154.74,0,0,4.47,2,28,1998.0,531.98
8,West,Online,Premium,10,139,0.0,147.19,0,0,4.23,1,11,1390.0,406.03
8,West,Store,Budget,48,39,0.0,166.99,0,0,4.22,1,76,1872.0,348.59
8,West,Store,Standard,8,74,0.0,152.41,0,0,3.74,1,9,592.0,44.43
8,West,Store,Premium,13,139,0.0,120.93,0,0,3.91,1,18,1807.0,607.43
9,North,Online,Budget,44,39,0.05,334.63,0,1,3.48,3,39,1630.2,96.09
9,North,Online,Standard,35,74,0.05,300.53,0,1,4.06,3,57,2460.5,536.41
9,North,Online,Premium,21,139,0.05,331.84,0,1,4.07,1,23,2773.05,802.26
9,North,Store,Budget,40,39,0.0,107.39,0,0,3.39,3,50,1560.0,303.67
9,North,Store,Standard,32,74,0.0,120.83,0,0,4.5,1,45,2368.0,715.37
9,North,Store,Premium,1,139,0.0,146.8,0,0,3.86,0,1,139.0,-88.42
9,South,Online,Budget,47,39,0.05,286.73,0,1,3.56,2,78,1741.35,183.69
9,South,Online,Standard,32,74,0.05,335.55,0,1,4.38,1,50,2249.6,458.03
9,South,Online,Premium,23,139,0.05,338.01,0,1,4.48,1,26,3037.15,907.01
9,South,Store,Budget,36,39,0.0,156.32,0,0,3.37,1,44,1404.0,-228.22
9,South,Store,Standard,15,74,0.0,81.92,0,0,3.64,1,23,1110.0,301.4
9,South,Store,Premium,16,139,0.0,86.17,0,0,3.91,1,24,2224.0,817.33
9,East,Online,Budget,60,39,0.05,279.57,0,1,3.76,4,56,2223.0,308.55
9,East,Online,Standard,37,74,0.05,263.02,0,1,4.07,3,34,2601.1,624.54
9,East,Online,Premium,25,139,0.05,252.32,0,1,4.05,1,20,3301.25,1103.62
9,East,Store,Budget,37,39,0.0,95.68,0,0,3.61,1,31,1443.0,299.78
9,East,Store,Standard,20,74,0.0,122.86,0,0,3.88,1,30,1480.0,393.66
9,East,Store,Premium,16,139,0.0,165.09,0,0,3.73,1,13,2224.0,738.41
9,West,Online,Budget,37,39,0.05,291.22,0,1,3.85,2,62,1370.85,75.46
9,West,Online,Standard,35,74,0.05,311.75,0,1,4.42,2,43,2460.5,541.47
9,West,Online,Premium,17,139,0.05,304.75,0,1,4.17,0,15,2244.85,638.09
9,West,Store,Budget,45,39,0.0,109.27,0,0,3.47,2,76,1755.0,364.97
9,West,Store,Standard,23,74,0.0,88.93,0,0,3.52,1,33,1702.0,507.51
9,West,Store,Premium,7,139,0.0,144.88,0,0,4.21,0,7,973.0,263.78
10,North,Online,Budget,44,39,0.0,120.81,0,0,3.46,2,52,1716.0,342.51
10,North,Online,Standard,32,74,0.0,113.69,0,0,4.36,2,30,2368.0,706.23
10,North,Online,Premium,15,139,0.0,88.39,0,0,4.17,1,13,2085.0,756.73
10,North,Store,Budget,27,39,0.0,132.78,0,0,3.51,1,35,1053.0,153.48
10,North,Store,Standard,28,74,0.0,139.88,0,0,3.81,1,41,2072.0,589.76
10,North,Store,Premium,7,139,0.0,134.04,0,0,4.28,1,8,973.0,244.04
10,South,Online,Budget,36,39,0.0,100.18,0,0,3.49,2,32,1404.0,275.78
10,South,Online,Standard,21,74,0.0,131.67,0,0,4.24,1,32,1554.0,411.49
10,South,Online,Premium,1,139,0.0,135.22,0,0,4.58,0,1,139.0,-76.84
10,South,Store,Budget,36,39,0.0,104.07,0,0,4.34,3,35,1404.0,263.31
10,South,Store,Standard,18,74,0.0,80.55,0,0,3.81,1,28,1332.0,382.69
10,South,Store,Premium,10,139,0.0,136.99,0,0,3.58,0,8,1390.0,446.81
10,East,Online,Budget,43,39,0.0,110.68,0,0,3.69,2,49,1677.0,341.72
10,East,Online,Standard,21,74,0.0,87.65,0,0,3.94,1,18,1554.0,455.51
10,East,Online,Premium,25,139,0.0,104.49,0,0,4.32,2,35,3475.0,1293.85
10,East,Store,Budget,42,39,0.0,147.94,0,0,3.17,2,38,1638.0,293.54
10,East,Store,Standard,29,74,0.0,123.8,0,0,3.64,2,41,2146.0,616.2
10,East,Store,Premium,17,139,0.0,80.69,0,0,4.24,1,18,2363.0,881.19
10,West,Online,Budget,44,39,0.0,109.53,0,0,3.75,2,36,1716.0,353.79
10,West,Online,Standard,24,74,0.0,143.33,0,0,4.05,1,30,1776.0,479.75
10,West,Online,Premium,6,139,0.0,157.56,0,0,4.37,0,5,834.0,192.72
10,West,Store,Budget,38,39,0.0,131.82,0,0,4.33,3,50,1482.0,257.4
10,West,Store,Standard,18,74,0.0,81.88,0,0,3.81,0,20,1332.0,397.64
10,West,Store,Premium,6,139,0.0,162.78,0,0,4.05,0,5,834.0,187.5
11,North,Online,Budget,63,39,0.05,357.16,1,1,3.85,3,73,2334.15,270.66
11,North,Online,Standard,50,74,0.05,325.13,1,1,3.93,2,63,3515.0,907.71
11,North,Online,Premium,30,139,0.05,341.44,1,1,4.37,2,44,3961.5,1261.23
11,North,Store,Budget,40,39,0.12,153.18,1,0,3.82,1,39,1372.8,222.62
11,North,Store,Standard,27,74,0.12,155.94,1,0,3.43,2,40,1758.24,444.47
11,North,Store,Premium,19,139,0.0,180.4,1,0,3.31,1,31,2641.0,898.24
11,South,Online,Budget,57,39,0.05,387.78,1,1,3.24,3,78,2111.85,177.8
11,South,Online,Standard,42,74,0.05,337.25,1,1,4.13,2,44,2952.6,693.13
11,South,Online,Premium,26,139,0.05,350.67,1,1,4.44,1,22,3433.3,1060.74
11,South,Store,Budget,43,39,0.12,216.98,1,0,3.62,3,58,1475.76,170.49
11,South,Store,Standard,30,74,0.12,211.26,1,0,3.51,2,48,1953.6,459.48
11,South,Store,Premium,21,139,0.0,168.94,1,0,3.29,1,26,2919.0,1026.46
11,East,Online,Budget,75,39,0.05,390.92,1,1,3.77,2,83,2778.75,369.97
11,East,Online,Standard,42,74,0.05,332.3,1,1,3.96,1,50,2952.6,714.36
11,East,Online,Premium,31,139,0.05,343.56,1,1,3.65,1,33,4093.55,1345.15
11,East,Store,Budget,58,39,0.12,211.03,1,0,3.28,3,80,1990.56,320.59
11,East,Store,Standard,38,74,0.12,165.57,1,0,4.04,2,55,2474.56,692.71
11,East,Store,Premium,10,139,0.0,170.0,1,0,3.48,1,13,1390.0,383.22
11,West,Online,Budget,69,39,0.05,372.86,1,1,3.9,5,80,2556.45,300.05
11,West,Online,Standard,35,74,0.05,343.9,1,1,3.37,1,53,2460.5,525.6
11,West,Online,Premium,16,139,0.05,376.49,1,1,4.25,1,23,2112.8,480.31
11,West,Store,Budget,47,39,0.12,172.56,1,0,3.05,2,53,1613.04,261.93
11,West,Store,Standard,36,74,0.12,183.76,1,0,4.0,3,36,2344.32,611.36
11,West,Store,Premium,20,139,0.0,149.1,1,0,3.99,1,30,2780.0,987.92
12,North,Online,Budget,48,39,0.12,170.31,1,0,4.07,1,72,1647.36,282.37
12,North,Online,Standard,43,74,0.12,214.82,1,0,4.28,1,64,2800.16,776.96
12,North,Online,Premium,19,139,0.0,176.98,1,0,4.13,1,27,2641.0,901.66
12,North,Store,Budget,58,39,0.12,207.37,1,0,3.58,2,70,1990.56,332.83
12,North,Store,Standard,33,74,0.12,182.21,1,0,3.61,2,51,2148.96,558.86
12,North,Store,Premium,30,139,0.0,181.55,1,0,3.33,2,32,4170.0,1508.69
12,South,Online,Budget,58,39,0.12,213.52,1,0,3.38,5,88,1990.56,300.94
12,South,Online,Standard,39,74,0.12,218.67,1,0,4.22,2,51,2539.68,663.05
12,South,Online,Premium,27,139,0.0,165.66,1,0,4.59,2,40,3753.0,1349.44
12,South,Store,Budget,59,39,0.12,179.37,1,0,3.44,2,97,2024.88,370.44
12,South,Store,Standard,37,74,0.12,142.4,1,0,3.97,2,31,2409.44,692.44
12,South,Store,Premium,18,139,0.0,173.74,1,0,3.64,1,15,2502.0,846.52
12,East,Online,Budget,60,39,0.12,211.22,1,0,4.31,4,55,2059.2,331.04
12,East,Online,Standard,54,74,0.12,152.49,1,0,3.9,3,77,3516.48,1064.6
12,East,Online,Premium,25,139,0.0,163.03,1,0,4.02,1,39,3475.0,1265.89
12,East,Store,Budget,54,39,0.12,150.01,1,0,3.01,3,57,1853.28,343.17
12,East,Store,Standard,40,74,0.12,211.45,1,0,3.87,2,48,2604.8,693.72
12,East,Store,Premium,30,139,0.0,141.48,1,0,4.48,2,38,4170.0,1548.76
12,West,Online,Budget,60,39,0.12,195.33,1,0,3.71,3,61,2059.2,355.51
12,West,Online,Standard,42,74,0.12,227.72,1,0,3.6,1,36,2735.04,740.61
12,West,Online,Premium,20,139,0.0,189.87,1,0,3.64,2,23,2780.0,916.57
12,West,Store,Budget,51,39,0.12,162.83,1,0,3.06,4,42,1750.32,292.94
12,West,Store,Standard,28,74,0.12,196.54,1,0,3.98,2,42,1823.36,427.31
12,West,Store,Premium,14,139,0.0,189.14,1,0,3.87,0,21,1946.0,628.18
