index,employment,holiday,pandemy,q1,q2,q3,sales
56,63.3,0,0,0,0,1,874
57,63.4,0,0,0,0,1,870
58,63.5,0,0,0,0,0,1094
59,63.4,1,0,0,0,0,2002
60,63.4,1,0,0,0,0,4073
61,63.4,0,0,1,0,0,730
62,63.4,0,0,1,0,0,791
63,63.6,0,0,1,0,0,1032
64,63.7,0,0,0,1,0,896
65,63.8,0,0,0,1,0,947
66,63.7,0,0,0,1,0,940
67,63.9,0,0,0,0,1,963
68,63.9,0,0,0,0,1,958
69,63.9,0,0,0,0,1,971
70,63.9,0,0,0,0,0,1141
71,64.1,1,0,0,0,0,2009
72,64,1,0,0,0,0,3643
73,64,0,0,1,0,0,858
74,64,0,0,1,0,0,883
75,64,0,0,1,0,0,987
76,64.1,0,0,0,1,0,1022
77,64.1,0,0,0,1,0,986
78,64,0,0,0,1,0,1016
79,64,0,0,0,0,1,1042
80,63.9,0,0,0,0,1,1025
81,64.2,0,0,0,0,1,1005
82,64.1,0,0,0,0,0,1197
83,64.2,1,0,0,0,0,2011
84,64.3,1,0,0,0,0,3801
85,64.4,0,0,1,0,0,933
86,64.2,0,0,1,0,0,966
87,64.2,0,0,1,0,0,1135
88,64.2,0,0,0,1,0,1076
89,64.3,0,0,0,1,0,1061
90,64.2,0,0,0,1,0,1101
91,64.2,0,0,0,0,1,1083
92,64.2,0,0,0,0,1,1101
93,64.2,0,0,0,0,1,1111
94,64.3,0,0,0,0,0,1277
95,64.4,1,0,0,0,0,2096
96,64.4,1,0,0,0,0,3711
97,64.6,0,0,1,0,0,893
98,64.6,0,0,1,0,0,1002
99,64.6,0,0,1,0,0,1106
100,64.7,0,0,0,1,0,1136
101,64.4,0,0,0,1,0,1072
102,64.5,0,0,0,1,0,1098
103,64.2,0,0,0,0,1,1124
104,64.2,0,0,0,0,1,1132
105,64.2,0,0,0,0,1,1175
106,64.2,0,0,0,0,0,1285
107,64.3,1,0,0,0,0,2161
108,64.4,1,0,0,0,0,3763
109,64.4,0,0,1,0,0,880
110,64.3,0,0,1,0,0,971
111,64.3,0,0,1,0,0,1176
112,64,0,0,0,1,0,1063
113,63.8,0,0,0,1,0,1038
114,63.7,0,0,0,1,0,1107
115,63.7,0,0,0,0,1,1094
116,63.2,0,0,0,0,1,1065
117,63.5,0,0,0,0,1,1050
118,63.2,0,0,0,0,0,1303
119,63,1,0,0,0,0,2445
120,62.9,1,0,0,0,0,3628
121,62.7,0,0,1,0,0,896
122,63,0,0,1,0,0,966
123,62.8,0,0,1,0,0,1186
124,62.7,0,0,0,1,0,1014
125,62.9,0,0,0,1,0,1078
126,62.7,0,0,0,1,0,1065
127,62.7,0,0,0,0,1,1103
128,62.7,0,0,0,0,1,1087
129,63,0,0,0,0,1,1048
130,62.7,0,0,0,0,0,1347
131,62.5,1,0,0,0,0,2468
132,62.4,1,0,0,0,0,3651
133,62.5,0,0,1,0,0,910
134,62.5,0,0,1,0,0,940
135,62.4,0,0,1,0,0,1111
136,62.4,0,0,0,1,0,1139
137,62.3,0,0,0,1,0,1088
138,62.3,0,0,0,1,0,1064
139,62.1,0,0,0,0,1,1094
140,62.1,0,0,0,0,1,1087
141,62,0,0,0,0,1,1095
142,62.1,0,0,0,0,0,1286
143,62.3,1,0,0,0,0,2223
144,62.2,1,0,0,0,0,3545
145,62.3,0,0,1,0,0,962
146,62.3,0,0,1,0,0,1045
147,62.2,0,0,1,0,0,1125
148,62.3,0,0,0,1,0,1082
149,62.3,0,0,0,1,0,974
150,62.4,0,0,0,1,0,1024
151,62.5,0,0,0,0,1,1086
152,62.4,0,0,0,0,1,1016
153,62.3,0,0,0,0,1,1051
154,62.3,0,0,0,0,0,1311
155,62.5,1,0,0,0,0,2187
156,62.4,1,0,0,0,0,3451
157,62.4,0,0,1,0,0,950
158,62.4,0,0,1,0,0,980
159,62.4,0,0,1,0,0,1173
160,62.7,0,0,0,1,0,1098
161,62.8,0,0,0,1,0,1061
162,62.7,0,0,0,1,0,1049
163,62.8,0,0,0,0,1,1077
164,62.9,0,0,0,0,1,1028
165,62.8,0,0,0,0,1,1019
166,62.8,0,0,0,0,0,1229
167,62.7,1,0,0,0,0,2120
168,62.8,1,0,0,0,0,3471
169,62.9,0,0,1,0,0,1063
170,63,0,0,1,0,0,1022
171,63.1,0,0,1,0,0,1117
172,63,0,0,0,1,0,1094
173,63.1,0,0,0,1,0,1040
174,63.1,0,0,0,1,0,1048
175,63,0,0,0,0,1,1070
176,63.1,0,0,0,0,1,1043
177,63.1,0,0,0,0,1,1086
178,63.3,0,0,0,0,0,1205
179,63.3,1,0,0,0,0,1933
180,63.4,1,0,0,0,0,3299
181,63.3,0,0,1,0,0,948
182,63.3,0,0,1,0,0,974
183,63.3,0,0,1,0,0,1188
184,63,0,0,0,1,0,1064
185,63,0,0,0,1,0,1050
186,63,0,0,0,1,0,1096
187,62.9,0,0,0,0,1,1102
188,62.7,0,0,0,0,1,1084
189,62.9,0,0,0,0,1,1102
190,62.7,0,0,0,0,0,1275
191,62.9,1,0,0,0,0,2208
192,62.7,1,0,0,0,0,3253
193,62.9,0,0,1,0,0,1045
194,62.8,0,0,1,0,0,1078
195,62.7,0,0,1,0,0,1185
196,62.7,0,0,0,1,0,1082
197,62.5,0,0,0,1,0,1132
198,62.4,0,0,0,1,0,1045
199,62.2,0,0,0,0,1,1100
200,62,0,0,0,0,1,1067
201,61.9,0,0,0,0,1,1063
202,61.7,0,0,0,0,0,1221
203,61.4,1,0,0,0,0,1964
204,61,1,0,0,0,0,3125
205,60.6,0,0,1,0,0,1034
206,60.3,0,0,1,0,0,1012
207,59.9,0,0,1,0,0,1099
208,59.8,0,0,0,1,0,1089
209,59.6,0,0,0,1,0,1068
210,59.4,0,0,0,1,0,1025
211,59.3,0,0,0,0,1,1062
212,59.1,0,0,0,0,1,1011
213,58.7,0,0,0,0,1,1067
214,58.5,0,0,0,0,0,1200
215,58.6,1,0,0,0,0,1850
216,58.3,1,0,0,0,0,3013
217,58.5,0,0,1,0,0,958
218,58.5,0,0,1,0,0,1005
219,58.5,0,0,1,0,0,1161
220,58.7,0,0,0,1,0,1065
221,58.6,0,0,0,1,0,1036
222,58.5,0,0,0,1,0,1030
223,58.5,0,0,0,0,1,1077
224,58.6,0,0,0,0,1,1046
225,58.5,0,0,0,0,1,1080
226,58.3,0,0,0,0,0,1262
227,58.2,1,0,0,0,0,2003
228,58.3,1,0,0,0,0,3082
229,58.3,0,0,1,0,0,972
230,58.4,0,0,1,0,0,1030
231,58.4,0,0,1,0,0,1201
232,58.4,0,0,0,1,0,1192
233,58.3,0,0,0,1,0,1073
234,58.2,0,0,0,1,0,1069
235,58.2,0,0,0,0,1,1089
236,58.3,0,0,0,0,1,1074
237,58.4,0,0,0,0,1,1151
238,58.4,0,0,0,0,0,1252
239,58.6,1,0,0,0,0,1964
240,58.6,1,0,0,0,0,3052
241,58.4,0,0,1,0,0,1072
242,58.5,0,0,1,0,0,1192
243,58.5,0,0,1,0,0,1270
244,58.4,0,0,0,1,0,1156
245,58.5,0,0,0,1,0,1186
246,58.6,0,0,0,1,0,1130
247,58.5,0,0,0,0,1,1123
248,58.4,0,0,0,0,1,1126
249,58.7,0,0,0,0,1,1158
250,58.8,0,0,0,0,0,1275
251,58.7,1,0,0,0,0,1945
252,58.7,1,0,0,0,0,2987
253,58.6,0,0,1,0,0,1032
254,58.6,0,0,1,0,0,1083
255,58.5,0,0,1,0,0,1254
256,58.6,0,0,0,1,0,1120
257,58.6,0,0,0,1,0,1129
258,58.6,0,0,0,1,0,1068
259,58.7,0,0,0,0,1,1118
260,58.7,0,0,0,0,1,1155
261,58.7,0,0,0,0,1,1171
262,58.3,0,0,0,0,0,1348
263,58.6,1,0,0,0,0,2151
264,58.7,1,0,0,0,0,3290
265,58.8,0,0,1,0,0,1018
266,58.7,0,0,1,0,0,1089
267,58.9,0,0,1,0,0,1220
268,58.9,0,0,0,1,0,1203
269,58.9,0,0,0,1,0,1177
270,59,0,0,0,1,0,1087
271,59,0,0,0,0,1,1186
272,59,0,0,0,0,1,1189
273,59.1,0,0,0,0,1,1254
274,59.3,0,0,0,0,0,1358
275,59.2,1,0,0,0,0,2142
276,59.3,1,0,0,0,0,3510
277,59.3,0,0,1,0,0,1128
278,59.2,0,0,1,0,0,1157
279,59.2,0,0,1,0,0,1320
280,59.3,0,0,0,1,0,1222
281,59.4,0,0,0,1,0,1232
282,59.4,0,0,0,1,0,1154
283,59.3,0,0,0,0,1,1188
284,59.4,0,0,0,0,1,1196
285,59.2,0,0,0,0,1,1280
286,59.3,0,0,0,0,0,1430
287,59.4,1,0,0,0,0,2166
288,59.6,1,0,0,0,0,3572
289,59.7,0,0,1,0,0,1195
290,59.8,0,0,1,0,0,1225
291,59.8,0,0,1,0,0,1379
292,59.7,0,0,0,1,0,1255
293,59.7,0,0,0,1,0,1248
294,59.7,0,0,0,1,0,1192
295,59.8,0,0,0,0,1,1242
296,59.8,0,0,0,0,1,1242
297,59.7,0,0,0,0,1,1318
298,59.7,0,0,0,0,0,1430
299,59.7,1,0,0,0,0,2236
300,59.7,1,0,0,0,0,3437
301,59.9,0,0,1,0,0,1181
302,60,0,0,1,0,0,1180
303,60.2,0,0,1,0,0,1354
304,60.2,0,0,0,1,0,1277
305,60.1,0,0,0,1,0,1246
306,60.1,0,0,0,1,0,1178
307,60.2,0,0,0,0,1,1193
308,60.1,0,0,0,0,1,1243
309,60.4,0,0,0,0,1,1349
310,60.1,0,0,0,0,0,1446
311,60.1,1,0,0,0,0,2241
312,60.1,1,0,0,0,0,3259
313,60.2,0,0,1,0,0,1187
314,60.4,0,0,1,0,0,1230
315,60.4,0,0,1,0,0,1719
316,60.4,0,0,0,1,0,1358
317,60.5,0,0,0,1,0,1438
318,60.4,0,0,0,1,0,1259
319,60.5,0,0,0,0,1,1046
320,60.3,0,0,0,0,1,1101
321,60.4,0,0,0,0,1,1182
322,60.5,0,0,0,0,0,1282
323,60.5,1,0,0,0,0,1988
324,60.6,1,0,0,0,0,2102
325,60.6,0,0,1,0,0,1130
326,60.8,0,0,1,0,0,1086
327,60.7,0,0,1,0,0,1262
328,60.6,0,0,0,1,0,1155
329,60.6,0,0,0,1,0,1231
330,60.7,0,0,0,1,0,1164
331,60.8,0,0,0,0,1,1172
332,60.8,0,0,0,0,1,1261
333,60.9,0,0,0,0,1,1245
334,60.9,0,0,0,0,0,1396
335,61,1,0,0,0,0,2047
336,61,1,0,0,0,0,2286
337,61.1,0,0,1,0,0,1160
338,61.2,0,0,1,0,0,1185
339,59.9,0,1,1,0,0,850
340,51.3,0,1,0,1,0,354
341,52.8,0,1,0,1,0,1100
342,54.7,0,1,0,1,0,1395
343,55.2,0,1,0,0,1,1383
344,56.5,0,1,0,0,1,1479
345,56.6,0,1,0,0,1,1551
346,57.4,0,1,0,0,0,1641
347,57.4,1,1,0,0,0,2365
348,57.4,1,1,0,0,0,2564
349,57.5,0,1,1,0,0,1613
350,57.6,0,1,1,0,0,1416
351,57.8,0,1,1,0,0,1941
352,57.9,0,1,0,1,0,1742
353,58,0,1,0,1,0,1733
354,58,0,1,0,1,0,1699
355,58.4,0,1,0,0,1,1776
356,58.5,0,1,0,0,1,1807
357,58.8,0,1,0,0,1,1900
358,58.9,0,1,0,0,0,2031
359,59.3,1,1,0,0,0,2850
360,59.5,1,1,0,0,0,3133
361,59.7,0,1,1,0,0,1626
362,59.9,0,1,1,0,0,1671
363,60.1,0,1,1,0,0,1871
364,60,0,1,0,1,0,1886
365,60.1,0,1,0,1,0,1855
366,59.9,0,1,0,1,0,1684
